question_id,question_key,question_number,correct_answer,canonical_skill_key,is_untagged,is_multitag,had_duplicate_tags,tag_count,skill_id
1,q1,1,b,1;2;179;181,False,True,False,4,2
2,q2,2,a,2;15;182,False,True,False,3,75
3,q3,3,b,2;14;179;183,False,True,False,4,65
4,q4,4,b,2;9;179;184,False,True,False,4,42
5,q5,5,c,2;8;179;181,False,True,False,4,32
6,q6,6,d,2;9;179;182,False,True,False,4,41
7,q7,7,d,7;11;179;183,False,True,False,4,119
8,q8,8,b,20;21;179;184,False,True,False,4,141
9,q9,9,c,2;13;179;183,False,True,False,4,57
10,q10,10,c,7;17;182,False,True,False,3,129
11,q11,11,b,2;15;181,False,True,False,3,74
12,q12,12,c,1;2;182,False,True,False,3,6
13,q13,13,a,1;2;183,False,True,False,3,7
14,q14,14,a,2;8;184,False,True,False,3,38
15,q15,15,d,2;14;181,False,True,False,3,66
16,q16,16,c,20;21;182,False,True,False,3,143
17,q17,17,c,2;19;183,False,True,False,3,89
18,q18,18,b,2;5;179;184,False,True,False,4,27
19,q19,19,a,20;21;183,False,True,False,3,144
20,q20,20,b,7;10;179;182,False,True,False,4,112
21,q21,21,d,2;9;179;181,False,True,False,4,40
22,q22,22,c,6;7;179;182,False,True,False,4,104
23,q23,23,d,2;8;183,False,True,False,3,37
24,q24,24,a,6;7;184,False,True,False,3,109
25,q25,25,c,6;7;181,False,True,False,3,106
26,q26,26,a,6;7;182,False,True,False,3,107
27,q27,27,a,2;4;179;183,False,True,False,4,18
28,q28,28,a,6;7;184,False,True,False,3,109
29,q29,29,d,2;4;183,False,True,False,3,21
30,q30,30,b,2;13;179;182,False,True,False,4,56
31,q31,31,b,1;2;179;181,False,True,False,4,2
32,q32,32,a,2;3;179;182,False,True,False,4,11
33,q33,33,c,2;4;179;183,False,True,False,4,18
34,q34,34,b,2;5;179;181,False,True,False,4,24
35,q35,35,a,6;7;183,False,True,False,3,108
36,q36,36,b,2;8;182,False,True,False,3,36
37,q37,37,c,2;9;179;181,False,True,False,4,40
38,q38,38,a,2;3;182,False,True,False,3,13
39,q39,39,b,7;10;179;183,False,True,False,4,113
40,q40,40,b,7;11;181,False,True,False,3,120
41,q41,41,d,2;4;181,False,True,False,3,19
42,q42,42,b,2;5;179;182,False,True,False,4,25
43,q43,43,a,2;16;183,False,True,False,3,84
44,q44,44,d,2;13;179;184,False,True,False,4,58
45,q45,45,d,6;7;181,False,True,False,3,106
46,q46,46,a,7;17;179;182,False,True,False,4,125
47,q47,47,d,2;4;179;183,False,True,False,4,18
48,q48,48,d,6;7;184,False,True,False,3,109
49,q49,49,c,6;7;179;183,False,True,False,4,105
50,q50,50,d,7;17;179;182,False,True,False,4,125
51,q51,51,c,2;14;181,False,True,False,3,66
52,q52,52,b,2;22;182,False,True,False,3,95
53,q53,53,c,2;19;183,False,True,False,3,89
54,q54,54,b,2;9;179;184,False,True,False,4,42
55,q55,55,d,6;7;181,False,True,False,3,106
56,q56,56,c,2;15;179;182,False,True,False,4,72
57,q57,57,a,20;21;179;183,False,True,False,4,140
58,q58,58,b,2;5;179;184,False,True,False,4,27
59,q59,59,b,7;17;183,False,True,False,3,130
60,q60,60,a,2;14;179;182,False,True,False,4,64
61,q61,61,c,6;7;181,False,True,False,3,106
62,q62,62,c,7;17;185,False,True,False,3,132
63,q63,63,b,2;4;185,False,True,False,3,23
64,q64,64,d,2;9;181,False,True,False,3,43
65,q65,65,b,2;12;183,False,True,False,3,52
66,q66,66,d,2;15;185,False,True,False,3,78
67,q67,67,c,2;4;181,False,True,False,3,19
68,q68,68,b,2;22;185,False,True,False,3,98
69,q69,69,d,1;2;185,False,True,False,3,9
70,q70,70,d,6;7;181,False,True,False,3,106
71,q71,71,b,1;2;179;181,False,True,False,4,2
72,q72,72,a,2;14;179;182,False,True,False,4,64
73,q73,73,b,2;5;179;183,False,True,False,4,26
74,q74,74,a,2;5;179;184,False,True,False,4,27
75,q75,75,b,6;7;181,False,True,False,3,106
76,q76,76,a,2;8;182,False,True,False,3,36
77,q77,77,c,7;11;183,False,True,False,3,122
78,q78,78,d,7;17;184,False,True,False,3,131
79,q79,79,a,2;4;183,False,True,False,3,21
80,q80,80,d,2;15;179;182,False,True,False,4,72
81,q81,81,b,6;7;181,False,True,False,3,106
82,q82,82,a,2;8;185,False,True,False,3,39
83,q83,83,d,6;7;185,False,True,False,3,110
84,q84,84,c,20;21;181,False,True,False,3,142
85,q85,85,d,2;15;183,False,True,False,3,76
86,q86,86,a,2;13;185,False,True,False,3,62
87,q87,87,b,7;10;181,False,True,False,3,114
88,q88,88,a,2;12;185,False,True,False,3,54
89,q89,89,a,2;14;185,False,True,False,3,70
90,q90,90,a,2;15;181,False,True,False,3,74
91,q91,91,d,2;5;179;181,False,True,False,4,24
92,q92,92,a,2;4;182,False,True,False,3,20
93,q93,93,c,2;22;183,False,True,False,3,96
94,q94,94,c,1;2;179;184,False,True,False,4,4
95,q95,95,d,2;8;179;181,False,True,False,4,32
96,q96,96,c,6;7;182,False,True,False,3,107
97,q97,97,d,6;7;183,False,True,False,3,108
98,q98,98,a,2;5;179;184,False,True,False,4,27
99,q99,99,a,7;18;179;182,False,True,False,4,133
100,q100,100,c,2;22;181,False,True,False,3,94
101,q101,101,b,2;8;182,False,True,False,3,36
102,q102,102,c,2;22;179;183,False,True,False,4,93
103,q103,103,c,2;4;184,False,True,False,3,22
104,q104,104,b,6;7;181,False,True,False,3,106
105,q105,105,d,2;5;179;182,False,True,False,4,25
106,q106,106,a,2;4;184,False,True,False,3,22
107,q107,107,d,7;10;179;183,False,True,False,4,113
108,q108,108,a,7;10;182,False,True,False,3,115
109,q109,109,c,2;4;183,False,True,False,3,21
110,q110,110,c,2;12;182,False,True,False,3,51
111,q111,111,a,2;13;181,False,True,False,3,59
112,q112,112,b,2;14;179;182,False,True,False,4,64
113,q113,113,d,2;14;183,False,True,False,3,68
114,q114,114,b,7;10;179;181,False,True,False,4,111
115,q115,115,a,2;15;183,False,True,False,3,76
116,q116,116,a,2;16;179;182,False,True,False,4,80
117,q117,117,b,7;10;181,False,True,False,3,114
118,q118,118,d,2;14;179;182,False,True,False,4,64
119,q119,119,d,2;4;181,False,True,False,3,19
120,q120,120,b,1;2;185,False,True,False,3,9
121,q121,121,c,20;21;185,False,True,False,3,146
122,q122,122,d,2;8;181,False,True,False,3,35
123,q123,123,a,7;17;183,False,True,False,3,130
124,q124,124,b,20;21;185,False,True,False,3,146
125,q125,125,a,6;7;181,False,True,False,3,106
126,q126,126,c,2;15;185,False,True,False,3,78
127,q127,127,b,6;7;185,False,True,False,3,110
128,q128,128,b,2;13;181,False,True,False,3,59
129,q129,129,b,2;9;183,False,True,False,3,45
130,q130,130,d,6;7;182,False,True,False,3,107
131,q131,131,c,2;19;181,False,True,False,3,87
132,q132,132,a,2;12;179;182,False,True,False,4,48
133,q133,133,b,2;8;179;183,False,True,False,4,34
134,q134,134,b,2;5;181,False,True,False,3,28
135,q135,135,d,2;4;183,False,True,False,3,21
136,q136,136,c,2;3;179;182,False,True,False,4,11
137,q137,137,b,2;5;181,False,True,False,3,28
138,q138,138,c,7;10;179;182,False,True,False,4,112
139,q139,139,a,2;14;183,False,True,False,3,68
140,q140,140,d,2;16;179;181,False,True,False,4,79
141,q141,141,b,2;9;183,False,True,False,3,45
142,q142,142,d,2;12;182,False,True,False,3,51
143,q143,143,c,7;11;181,False,True,False,3,120
144,q144,144,d,2;4;182,False,True,False,3,20
145,q145,145,b,2;13;183,False,True,False,3,60
146,q146,146,b,6;7;179;181,False,True,False,4,103
147,q147,147,b,7;17;183,False,True,False,3,130
148,q148,148,c,2;14;182,False,True,False,3,67
149,q149,149,b,2;13;181,False,True,False,3,59
150,q150,150,d,2;5;182,False,True,False,3,29
151,q151,151,d,6;7;181,False,True,False,3,106
152,q152,152,c,2;5;179;183,False,True,False,4,26
153,q153,153,a,2;8;179;182,False,True,False,4,33
154,q154,154,b,7;18;181,False,True,False,3,135
155,q155,155,c,7;10;182,False,True,False,3,115
156,q156,156,a,2;4;183,False,True,False,3,21
157,q157,157,d,2;14;179;181,False,True,False,4,63
158,q158,158,c,2;8;181,False,True,False,3,35
159,q159,159,a,2;9;185,False,True,False,3,47
160,q160,160,d,2;8;185,False,True,False,3,39
161,q161,161,d,2;5;181,False,True,False,3,28
162,q162,162,b,2;3;183,False,True,False,3,14
163,q163,163,a,6;7;185,False,True,False,3,110
164,q164,164,c,7;10;181,False,True,False,3,114
165,q165,165,b,20;21;185,False,True,False,3,146
166,q166,166,c,7;18;185,False,True,False,3,139
167,q167,167,a,2;5;181,False,True,False,3,28
168,q168,168,d,2;16;179;181,False,True,False,4,79
169,q169,169,c,2;22;179;182,False,True,False,4,92
170,q170,170,b,2;9;183,False,True,False,3,45
171,q171,171,d,2;9;184,False,True,False,3,46
172,q172,172,a,2;5;181,False,True,False,3,28
173,q173,173,a,7;17;182,False,True,False,3,129
174,q174,174,a,7;10;183,False,True,False,3,116
175,q175,175,b,7;17;184,False,True,False,3,131
176,q176,176,d,6;7;183,False,True,False,3,108
177,q177,177,b,6;7;182,False,True,False,3,107
178,q178,178,d,2;9;182,False,True,False,3,44
179,q179,179,c,2;5;179;183,False,True,False,4,26
180,q180,180,b,2;15;184,False,True,False,3,77
181,q181,181,d,2;9;181,False,True,False,3,43
182,q182,182,b,2;4;182,False,True,False,3,20
183,q183,183,d,2;15;179;183,False,True,False,4,73
184,q184,184,a,20;21;179;184,False,True,False,4,141
185,q185,185,a,7;11;183,False,True,False,3,122
186,q186,186,b,2;12;182,False,True,False,3,51
187,q187,187,a,2;4;181,False,True,False,3,19
188,q188,188,c,2;19;185,False,True,False,3,91
189,q189,189,b,2;8;185,False,True,False,3,39
190,q190,190,a,6;7;181,False,True,False,3,106
191,q191,191,b,2;4;183,False,True,False,3,21
192,q192,192,d,2;3;185,False,True,False,3,16
193,q193,193,a,2;4;181,False,True,False,3,19
194,q194,194,d,7;10;185,False,True,False,3,118
195,q195,195,c,20;21;185,False,True,False,3,146
196,q196,196,b,7;17;181,False,True,False,3,128
197,q197,197,a,24;25;181;183,False,True,False,4,180
198,q198,198,a,31;32;183;185,False,True,False,4,461
199,q199,199,b,24;33;183;184,False,True,False,4,253
200,q200,200,c,24;26;51;181;185,False,True,False,5,197
201,q201,201,c,28;29;183;184,False,True,False,4,360
202,q202,202,a,24;40;181;185,False,True,False,4,261
203,q203,203,b,38;39;183;185,False,True,False,4,534
204,q204,204,a,24;41;181;185,False,True,False,4,272
205,q205,205,a,44;49;181;185,False,True,False,4,553
206,q206,206,c,31;32;183;185,False,True,False,4,461
207,q207,207,b,24;33;51;181;182,False,True,False,5,242
208,q208,208,c,24;25;181;183,False,True,False,4,180
209,q209,209,b,31;42;181;185,False,True,False,4,465
210,q210,210,a,32;36;181;185,False,True,False,4,475
211,q211,211,b,28;29;181;183,False,True,False,4,355
212,q212,212,b,24;26;27;183;184,False,True,False,5,192
213,q213,213,a,24;27;40;183;185,False,True,False,5,213
214,q214,214,c,31;32;183;185,False,True,False,4,461
215,q215,215,a,30;34;35;183;185,False,True,False,5,409
216,q216,216,c,23;24;25;183;184,False,True,False,5,156
217,q217,217,a,24;48;181;185,False,True,False,4,295
218,q218,218,b,24;50;184;185,False,True,False,4,310
219,q219,219,c,44;45;184;185,False,True,False,4,550
220,q220,220,a,27;31;32;181;185,False,True,False,5,317
221,q221,221,b,36;37;183;185,False,True,False,4,515
222,q222,222,c,24;33;181;183,False,True,False,4,248
223,q223,223,b,36;37;183;185,False,True,False,4,515
224,q224,224,c,28;32;183;185,False,True,False,4,370
225,q225,225,c,30;34;35;181;185,False,True,False,5,405
226,q226,226,a,24;43;184;185,False,True,False,4,288
227,q227,227,c,23;24;25;181;183,False,True,False,5,151
228,q228,228,b,24;26;183;185,False,True,False,4,207
229,q229,229,a,24;33;183;185,False,True,False,4,254
230,q230,230,b,24;48;181;183,False,True,False,4,293
231,q231,231,c,24;33;184;185,False,True,False,4,255
232,q232,232,a,31;32;183;185,False,True,False,4,461
233,q233,233,c,28;29;181;185,False,True,False,4,357
234,q234,234,a,23;24;25;181;185,False,True,False,5,153
235,q235,235,b,24;33;181;185,False,True,False,4,250
236,q236,236,c,44;45;183;185,False,True,False,4,549
237,q237,237,c,23;46;47;181;185,False,True,False,5,168
238,q238,238,a,24;26;27;181;183,False,True,False,5,188
239,q239,239,a,28;29;181;185,False,True,False,4,357
240,q240,240,b,34;35;181;185,False,True,False,4,487
241,q241,241,b,24;40;181;183,False,True,False,4,259
242,q242,242,b,24;41;183;185,False,True,False,4,276
243,q243,243,c,27;28;29;183;185,False,True,False,5,313
244,q244,244,a,31;32;183;185,False,True,False,4,461
245,q245,245,c,24;25;183;185,False,True,False,4,186
246,q246,246,c,24;30;50;183;185,False,True,False,5,241
247,q247,247,b,31;32;181;185,False,True,False,4,457
248,q248,248,b,24;40;181;184,False,True,False,4,260
249,q249,249,b,27;38;39;184;185,False,True,False,5,328
250,q250,250,c,38;39;179;181;185,False,True,False,5,524
251,q251,251,b,36;37;183;184,False,True,False,4,514
252,q252,252,a,24;41;181;183,False,True,False,4,270
253,q253,253,c,31;32;183;185,False,True,False,4,461
254,q254,254,a,36;37;183;185,False,True,False,4,515
255,q255,255,c,31;32;181;185,False,True,False,4,457
256,q256,256,c,34;42;183;184,False,True,False,4,504
257,q257,257,c,30;36;37;181;183,False,True,False,5,420
258,q258,258,b,46;47;182;184,False,True,False,4,564
259,q259,259,a,24;25;182;183,False,True,False,4,183
260,q260,260,a,30;38;39;182;184,False,True,False,5,434
261,q261,261,c,31;32;181;184,False,True,False,4,456
262,q262,262,a,44;45;182;183,False,True,False,4,546
263,q263,263,b,24;48;181;184,False,True,False,4,294
264,q264,264,a,38;39;179;182;184,False,True,False,5,525
265,q265,265,b,24;33;181;182,False,True,False,4,247
266,q266,266,a,24;26;181;184,False,True,False,4,202
267,q267,267,c,28;29;30;183;184,False,True,False,5,346
268,q268,268,b,24;43;181;184,False,True,False,4,282
269,q269,269,c,24;26;27;181;183,False,True,False,5,188
270,q270,270,a,30;34;35;181;184,False,True,False,5,404
271,q271,271,c,36;37;182;183,False,True,False,4,512
272,q272,272,a,31;32;183;184,False,True,False,4,460
273,q273,273,b,44;45;179;181;183,False,True,False,5,537
274,q274,274,c,24;40;182;184,False,True,False,4,263
275,q275,275,c,30;34;35;179;181;184,False,True,False,6,399
276,q276,276,b,30;34;35;182;183,False,True,False,5,406
277,q277,277,c,31;32;181;182,False,True,False,4,454
278,q278,278,a,27;46;47;181;183,False,True,False,5,335
279,q279,279,a,28;29;182;183,False,True,False,4,358
280,q280,280,b,38;39;181;182,False,True,False,4,527
281,q281,281,c,44;45;182;184,False,True,False,4,547
282,q282,282,a,38;39;181;183,False,True,False,4,528
283,q283,283,a,24;25;27;179;182;184,False,True,False,6,169
284,q284,284,b,24;27;33;182;183,False,True,False,5,209
285,q285,285,a,34;35;182;184,False,True,False,4,489
286,q286,286,b,24;40;181;184,False,True,False,4,260
287,q287,287,a,30;34;35;181;182,False,True,False,5,402
288,q288,288,a,24;26;181;182,False,True,False,4,200
289,q289,289,b,24;33;51;182;183,False,True,False,5,245
290,q290,290,b,24;26;183;184,False,True,False,4,206
291,q291,291,a,24;41;181;182,False,True,False,4,269
292,q292,292,c,31;32;182;183,False,True,False,4,458
293,q293,293,c,24;40;181;182,False,True,False,4,258
294,q294,294,a,24;43;182;183,False,True,False,4,284
295,q295,295,c,34;42;181;182,False,True,False,4,498
296,q296,296,c,24;27;48;181;182,False,True,False,5,221
297,q297,297,b,24;40;183;184,False,True,False,4,264
298,q298,298,c,23;24;25;182;183,False,True,False,5,154
299,q299,299,a,27;34;35;181;182,False,True,False,5,318
300,q300,300,c,44;45;181;182,False,True,False,4,542
301,q301,301,b,34;42;182;183,False,True,False,4,502
302,q302,302,b,31;32;183;184,False,True,False,4,460
303,q303,303,b,30;34;42;181;182,False,True,False,5,412
304,q304,304,a,24;26;182;183,False,True,False,4,204
305,q305,305,b,30;38;39;181;182,False,True,False,5,430
306,q306,306,c,24;27;33;182;183,False,True,False,5,209
307,q307,307,c,24;30;48;181;182,False,True,False,5,240
308,q308,308,a,30;34;35;181;182,False,True,False,5,402
309,q309,309,c,28;29;183;184,False,True,False,4,360
310,q310,310,a,28;37;182;183,False,True,False,4,374
311,q311,311,c,34;35;183;184,False,True,False,4,490
312,q312,312,c,23;24;25;181;183,False,True,False,5,151
313,q313,313,c,24;33;183;185,False,True,False,4,254
314,q314,314,c,24;43;183;185,False,True,False,4,287
315,q315,315,a,24;26;181;183,False,True,False,4,201
316,q316,316,b,31;32;184;185,False,True,False,4,462
317,q317,317,a,23;24;25;179;183;185,False,True,False,6,149
318,q318,318,b,24;41;181;185,False,True,False,4,272
319,q319,319,b,24;40;181;185,False,True,False,4,261
320,q320,320,a,36;37;181;185,False,True,False,4,511
321,q321,321,b,23;24;33;183;185,False,True,False,5,165
322,q322,322,b,30;31;32;181;185,False,True,False,5,387
323,q323,323,a,28;29;181;183,False,True,False,4,355
324,q324,324,a,24;26;181;185,False,True,False,4,203
325,q325,325,c,38;39;181;185,False,True,False,4,530
326,q326,326,b,24;43;181;183,False,True,False,4,281
327,q327,327,c,30;32;36;183;185,False,True,False,5,398
328,q328,328,b,44;45;179;183;185,False,True,False,5,541
329,q329,329,a,30;38;39;179;183;185,False,True,False,6,429
330,q330,330,c,34;35;183;185,False,True,False,4,491
331,q331,331,c,31;32;183;185,False,True,False,4,461
332,q332,332,a,24;40;181;185,False,True,False,4,261
333,q333,333,c,30;36;37;181;184,False,True,False,5,421
334,q334,334,c,24;50;184;185,False,True,False,4,310
335,q335,335,c,44;45;181;185,False,True,False,4,545
336,q336,336,b,28;29;179;183;184,False,True,False,5,353
337,q337,337,c,34;35;181;183,False,True,False,4,485
338,q338,338,b,31;32;183;185,False,True,False,4,461
339,q339,339,c,38;39;183;185,False,True,False,4,534
340,q340,340,b,24;41;181;185,False,True,False,4,272
341,q341,341,c,30;38;39;183;184,False,True,False,5,435
342,q342,342,c,46;47;179;181;183,False,True,False,5,557
343,q343,343,a,24;25;182;184,False,True,False,4,184
344,q344,344,b,24;43;182;183,False,True,False,4,284
345,q345,345,b,24;26;182;184,False,True,False,4,205
346,q346,346,a,34;35;179;182;184,False,True,False,5,481
347,q347,347,b,24;43;182;183,False,True,False,4,284
348,q348,348,a,30;31;32;181;184,False,True,False,5,386
349,q349,349,c,24;40;182;184,False,True,False,4,263
350,q350,350,a,46;47;179;181;182,False,True,False,5,556
351,q351,351,b,28;29;181;184,False,True,False,4,356
352,q352,352,b,24;25;183;184,False,True,False,4,185
353,q353,353,c,44;45;181;184,False,True,False,4,544
354,q354,354,a,30;38;39;181;183,False,True,False,5,431
355,q355,355,c,30;36;37;181;184,False,True,False,5,421
356,q356,356,b,30;34;42;181;183,False,True,False,5,413
357,q357,357,b,24;33;183;184,False,True,False,4,253
358,q358,358,c,34;35;181;183,False,True,False,4,485
359,q359,359,b,28;30;37;182;184,False,True,False,5,364
360,q360,360,c,30;36;37;181;184,False,True,False,5,421
361,q361,361,a,24;41;182;183,False,True,False,4,273
362,q362,362,a,28;29;30;181;182,False,True,False,5,341
363,q363,363,b,31;32;181;183,False,True,False,4,455
364,q364,364,c,30;34;42;182;183,False,True,False,5,416
365,q365,365,a,24;41;181;182,False,True,False,4,269
366,q366,366,a,34;35;182;184,False,True,False,4,489
367,q367,367,c,24;25;181;183,False,True,False,4,180
368,q368,368,b,24;30;33;183;185,False,True,False,5,227
369,q369,369,c,24;40;183;184,False,True,False,4,264
370,q370,370,c,24;48;181;185,False,True,False,4,295
371,q371,371,b,24;33;183;184,False,True,False,4,253
372,q372,372,c,24;26;27;181;185,False,True,False,5,189
373,q373,373,b,23;24;25;183;185,False,True,False,5,157
374,q374,374,b,30;31;32;183;185,False,True,False,5,391
375,q375,375,a,28;29;181;185,False,True,False,4,357
376,q376,376,b,24;43;183;185,False,True,False,4,287
377,q377,377,a,30;31;32;181;185,False,True,False,5,387
378,q378,378,c,24;40;181;183,False,True,False,4,259
